id,label,media_type
,OGCProc,http://www.opengis.net/def/interface/ogcapi-processes
,OGCRec,http://www.opengis.net/def/interface/ogcapi-records
,OGCRout,http://www.opengis.net/def/interface/ogcapi-routes
,OGCStyl,http://www.opengis.net/def/interface/ogcapi-styles
,OGCTile,http://www.opengis.net/def/interface/ogcapi-tiles
,OGS,http://www.opengeospatial.org/standards/ols#ogs
,OPENDAD,
,OPENSEARCH1.1,http://www.opensearch.org/Specifications/OpenSearch/1.1#OpenSearch_URL_template_syntax
,OPENSEARCH1.1:DESCRIPTION,http://www.opensearch.org/Specifications/OpenSearch/1.1#OpenSearch_description_document
,OPS,http://www.opengeospatial.org/standards/ols#ops
,ORDER,
,ORS,http://www.opengeospatial.org/standards/ols#ors
,OSM,http://wiki.openstreetmap.org/wiki/API
,OUS,http://www.opengeospatial.org/standards/ols#ous
http://publications.europa.eu/resource/authority/file-type/OVF,OVF,
,OWC,http://www.opengeospatial.org/standards/owc
http://publications.europa.eu/resource/authority/file-type/OWL,OWL,http://www.iana.org/assignments/media-types/application/rdf+xml
http://publications.europa.eu/resource/authority/file-type/PDF,PDF,http://www.iana.org/assignments/media-types/application/pdf
http://publications.europa.eu/resource/authority/file-type/PDF1X,PDF1X,
http://publications.europa.eu/resource/authority/file-type/PDFA1A,PDFA1A,
http://publications.europa.eu/resource/authority/file-type/PDFA1B,PDFA1B,
http://publications.europa.eu/resource/authority/file-type/PDFA2A,PDFA2A,
http://publications.europa.eu/resource/authority/file-type/PDFA2B,PDFA2B,
http://publications.europa.eu/resource/authority/file-type/PDFA3,PDFA3,
http://publications.europa.eu/resource/authority/file-type/PDFUA,PDFUA,
http://publications.europa.eu/resource/authority/file-type/PDFX,PDFX,
http://publications.europa.eu/resource/authority/file-type/PDFX1A,PDFX1A,
http://publications.europa.eu/resource/authority/file-type/PDFX2A,PDFX2A,
http://publications.europa.eu/resource/authority/file-type/PDFX4,PDFX4,
http://publications.europa.eu/resource/authority/file-type/PL,PL,
http://publications.europa.eu/resource/authority/file-type/PNG,PNG,http://www.iana.org/assignments/media-types/image/png
,POSTGIS,
http://publications.europa.eu/resource/authority/file-type/PPS,PPS,
http://publications.europa.eu/resource/authority/file-type/PPSX,PPSX,
http://publications.europa.eu/resource/authority/file-type/PPT,PPT,http://www.iana.org/assignments/media-types/application/vnd.ms-powerpoint
http://publications.europa.eu/resource/authority/file-type/PPTX,PPTX,http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.presentationml.presentation
,PROTOCOL-BUFFERS,http://developers.google.com/protocol-buffers
http://publications.europa.eu/resource/authority/file-type/PS,PS,
http://publications.europa.eu/resource/authority/file-type/PSD,PSD,
http://publications.europa.eu/resource/authority/file-type/PWP,PWP,
http://publications.europa.eu/resource/authority/file-type/QGS,QGS,
,QUAKEML1.2,http://quakeml.org /xmlns /quakeml/1.2
http://publications.europa.eu/resource/authority/file-type/RAR,RAR,http://www.iana.org/assignments/media-types/application/vnd.rar
,RASTER,
http://publications.europa.eu/resource/authority/file-type/RDF,RDF,http://www.iana.org/assignments/media-types/application/rdf+xml
http://publications.europa.eu/resource/authority/file-type/RDF_N_QUADS,RDF_N_QUADS,
http://publications.europa.eu/resource/authority/file-type/RDF_N_TRIPLES,RDF_N_TRIPLES,http://www.iana.org/assignments/media-types/application/n-triples
http://publications.europa.eu/resource/authority/file-type/RDF_THRIFT,RDF_THRIFT,
http://publications.europa.eu/resource/authority/file-type/RDF_TRIG,RDF_TRIG,
http://publications.europa.eu/resource/authority/file-type/RDF_TRIX,RDF_TRIX,
http://publications.europa.eu/resource/authority/file-type/RDF_TURTLE,RDF_TURTLE,http://www.iana.org/assignments/media-types/text/turtle
http://publications.europa.eu/resource/authority/file-type/RDF_XML,RDF_XML,http://www.iana.org/assignments/media-types/application/rdf+xml
http://publications.europa.eu/resource/authority/file-type/RDFA,RDFA,http://www.iana.org/assignments/media-types/application/xhtml+xml
http://publications.europa.eu/resource/authority/file-type/REST,REST,
http://publications.europa.eu/resource/authority/file-type/RPM,RPM,
http://publications.europa.eu/resource/authority/file-type/RSS,RSS,
